Which membrane phospholipid flips outward during apoptosis as an "eat me" signal?	Phosphatidylserine. It normally sits on the inner leaflet and flips outward during apoptosis. [8]	pathology chapter-01 cellular-housekeeping apoptosis phosphatidylserine
What is the immediate membrane-transport consequence of ATP depletion?	Failure of ion pumps with osmotic cell swelling. ATP depletion prevents the cell from pumping out inorganic ions. [9]	pathology chapter-01 cellular-housekeeping atp-depletion cell-swelling high-yield
Which process internalizes LDL through specific surface receptors?	Clathrin-mediated receptor-mediated endocytosis. LDL uptake is the classic example. [10][11]	pathology chapter-01 cellular-housekeeping endocytosis ldl clathrin
What do tight junctions primarily maintain?	Paracellular barrier formation and apical-basolateral polarity. [12]	pathology chapter-01 cellular-housekeeping tight-junction
What do gap junctions allow to pass between adjacent cells?	Ions and small molecules. Gap junctions help coordinate tissues such as cardiac muscle. [12]	pathology chapter-01 cellular-housekeeping gap-junction
Cytokeratin expression points to what cell lineage?	Epithelial lineage. Cytokeratins are epithelial intermediate filaments. [11]	pathology chapter-01 cellular-housekeeping cytokeratin epithelial
Which organelle synthesizes and folds membrane and secreted proteins?	Rough endoplasmic reticulum. It synthesizes and folds membrane and secreted proteins. [12]	pathology chapter-01 cellular-housekeeping rough-er
Where is the common misfolded CFTR mutant retained?	Rough endoplasmic reticulum. The common CFTR mutant is misfolded, retained, and degraded there. [12]	pathology chapter-01 cellular-housekeeping cftr rough-er high-yield
What Golgi-added signal targets enzymes to lysosomes?	Mannose-6-phosphate. This Golgi-added tag directs hydrolases to lysosomes. [12][13]	pathology chapter-01 cellular-housekeeping mannose-6-phosphate golgi
What is the main role of the Golgi apparatus?	Protein modification, sorting, and trafficking. The Golgi sends cargo to the membrane, lysosomes, or secretory vesicles. [12][13]	pathology chapter-01 cellular-housekeeping golgi
What degrades ubiquitin-tagged cytosolic proteins?	Proteasome. It degrades ubiquitin-tagged cytosolic proteins, including short-lived regulatory proteins. [13][14]	pathology chapter-01 cellular-housekeeping proteasome ubiquitin high-yield
What process delivers senescent organelles to lysosomes in a double-membrane vesicle?	Autophagy. Senescent organelles are enclosed in an autophagosome before lysosomal degradation. [13][14]	pathology chapter-01 cellular-housekeeping autophagy
Why is mitochondrial inheritance usually maternal?	Because the ovum contributes nearly all cytoplasmic organelles to the zygote. This makes mitochondrial inheritance usually maternal. [13][14]	pathology chapter-01 cellular-housekeeping mitochondria maternal-inheritance
What metabolic shift defines the Warburg effect?	Increased glycolysis with lactate production despite adequate oxygen. This preserves carbon skeletons for biosynthesis. [15]	pathology chapter-01 cellular-housekeeping warburg-effect metabolism high-yield
Release of what mitochondrial protein promotes apoptosis?	Cytochrome c. Its release from mitochondria helps trigger apoptosis. [15]	pathology chapter-01 cellular-housekeeping mitochondria cytochrome-c
Which second messenger mediates nitric oxide signaling in vascular smooth muscle?	cGMP. Nitric oxide activates guanylyl cyclase in vascular smooth muscle. [16]	pathology chapter-01 cellular-housekeeping nitric-oxide cgmp high-yield
What activates most receptor tyrosine kinases?	Ligand-induced dimerization with autophosphorylation. That is the core activation mechanism for receptor tyrosine kinases. [16][17]	pathology chapter-01 cell-signaling-and-growth-factors rtk
What is the key signaling event in Notch activation?	Proteolytic receptor cleavage with nuclear translocation of the intracellular fragment. That is the hallmark of Notch signaling. [17][18]	pathology chapter-01 cell-signaling-and-growth-factors notch high-yield
What molecule is stabilized in Wnt/Frizzled signaling?	Beta-catenin. Wnt signaling stabilizes beta-catenin and allows nuclear signaling. [18]	pathology chapter-01 cell-signaling-and-growth-factors wnt beta-catenin
What is the effect of delayed GTP hydrolysis in mutant RAS?	Persistent proliferative signaling. Delayed GTP hydrolysis keeps RAS in its active state. [17]	pathology chapter-01 cell-signaling-and-growth-factors ras high-yield
Which growth factor is the major driver of angiogenesis?	VEGF. It is the major driver of angiogenesis. [20]	pathology chapter-01 cell-signaling-and-growth-factors vegf angiogenesis high-yield
Which growth factor also increases vascular permeability during vessel growth?	VEGF. It increases vascular permeability as well as angiogenesis. [20]	pathology chapter-01 cell-signaling-and-growth-factors vegf vascular-permeability
Which cytokine or growth factor drives ECM synthesis and fibrosis through Smad signaling?	TGF-beta. It signals through Smads to promote ECM synthesis and fibrosis. [20][21]	pathology chapter-01 cell-signaling-and-growth-factors tgf-beta fibrosis high-yield
Which receptor class is used by steroid hormones?	Intracellular or nuclear receptors. Steroid hormones cross the membrane and regulate transcription directly. [16]	pathology chapter-01 cell-signaling-and-growth-factors nuclear-receptor
What is another name for hepatocyte growth factor (HGF)?	Scatter factor. HGF is both mitogenic and motogenic in epithelial repair. [19][20]	pathology chapter-01 cell-signaling-and-growth-factors hgf
What is the main action of PDGF in tissue repair?	Recruitment and proliferation of fibroblasts, smooth muscle cells, and endothelial cells. PDGF is important in repair and fibrosis. [20]	pathology chapter-01 cell-signaling-and-growth-factors pdgf
Which major proliferative pathways are activated downstream of RAS?	MAPK and PI3K/Akt/mTOR. These are the major proliferative pathways downstream of RAS. [17]	pathology chapter-01 cell-signaling-and-growth-factors ras mapk pi3k
Which extracellular matrix structure lies beneath epithelium, endothelium, and smooth muscle?	Basement membrane. It is the organized ECM layer beneath those cell types. [22]	pathology chapter-01 extracellular-matrix basement-membrane
What is the major adhesive glycoprotein of basement membrane?	Laminin. It is the dominant adhesive glycoprotein of basement membrane. [24]	pathology chapter-01 extracellular-matrix laminin high-yield
What is the main collagenous scaffold of basement membrane?	Type IV collagen. It is the characteristic collagen of basement membrane. [22]	pathology chapter-01 extracellular-matrix type-iv-collagen
What major role does fibronectin play in wound healing?	It provides a scaffold for ECM deposition and re-epithelialization. That is its key role in wound healing. [24]	pathology chapter-01 extracellular-matrix fibronectin
Defect in which extracellular matrix component causes Marfan syndrome?	Fibrillin. Defect of fibrillin causes Marfan syndrome. [23]	pathology chapter-01 extracellular-matrix fibrillin marfan
What peptide motif is recognized by many integrins?	RGD. Many integrins recognize this peptide motif on ECM proteins such as fibronectin. [24]	pathology chapter-01 extracellular-matrix integrin rgd high-yield
What do integrins physically link to the extracellular matrix?	The intracellular cytoskeleton. Integrins connect ECM outside the cell to cytoskeletal structures inside the cell. [24]	pathology chapter-01 extracellular-matrix integrin cytoskeleton
What is the main function of proteoglycans in extracellular matrix?	They create a hydrated gel and reservoir for growth factors. [23]	pathology chapter-01 extracellular-matrix proteoglycans
What is the restriction point of the cell cycle?	The late G1 commitment point. After the restriction point, the cell no longer needs ongoing growth factor stimulation to continue the cycle. [24][25]	pathology chapter-01 cell-populations-and-regenerative-medicine restriction-point
In which phase of the cell cycle does DNA synthesis occur?	S phase. That is the phase of DNA synthesis. [25]	pathology chapter-01 cell-populations-and-regenerative-medicine s-phase
What drives the G1 to S transition?	Cyclin D-CDK4/6 and cyclin E-CDK2 phosphorylating Rb. This drives the G1 to S transition. [25][26]	pathology chapter-01 cell-populations-and-regenerative-medicine g1-s rb high-yield
Which complex is essential for the G2 to M transition?	Cyclin B-CDK1. It is essential for the G2 to M transition. [25][26]	pathology chapter-01 cell-populations-and-regenerative-medicine g2-m cyclin-b-cdk1
What do p21, p27, and p57 do?	They inhibit multiple CDKs. The Cip/Kip family restrains cell-cycle progression. [25][26]	pathology chapter-01 cell-populations-and-regenerative-medicine cdk-inhibitors
What are the two defining properties of stem cells?	Self-renewal and generation of differentiated progeny. These two features define a stem cell. [26]	pathology chapter-01 cell-populations-and-regenerative-medicine stem-cells high-yield
What do adult stem-cell niches mainly do?	They keep stem cells quiescent and regulate activation when expansion is needed. [27][28]	pathology chapter-01 cell-populations-and-regenerative-medicine stem-cell-niche
What is an induced pluripotent stem cell?	A reprogrammed somatic cell with embryonic stem cell-like pluripotency. [28]	pathology chapter-01 cell-populations-and-regenerative-medicine ipsc high-yield
